292). 	 strike   	8 	Yankees
293). 	 foul   	8 	Yankees
294). 	 strike   	8 	Yankees
295). 	 ponche   	8 	Yankees
296). 	 1 bola   	9 	Yankees
297). 	 strike   	9 	Yankees
298). 	 foul   	9 	Yankees
299). 	 2 bola   	9 	Yankees
300). 	 3 bola   	9 	Yankees
301). 	 foul   	9 	Yankees
302). 	 4 bola   	9 	Yankees
303). 	 base por bolas   	9 	Yankees
304). 	 Movimiento a 1er. base   	9 	Yankees
305). 	 foul   	1 	Yankees
306). 	 foul   	1 	Yankees
307). 	 1 bola   	1 	Yankees
308). 	 Conctato a pelota   	1 	Yankees
309). 	 hit   	1 	Yankees
310). 	 Movimiento a 2da. base   	9 	Yankees
311). 	 Movimiento a 1er. base   	1 	Yankees
312). 	 doble play   	2 	Yankees
313). 	 out   	1 	Yankees
314). 	 out   	2 	Yankees
315). 	 Cambio de juego   	2 	Yankees
316). 	 strike   	8 	Indios
317). 	 foul   	8 	Indios
318). 	 Conctato a pelota   	8 	Indios
319). 	 out   	8 	Indios
320). 	 Conctato a pelota   	9 	Indios
321). 	 hit   	9 	Indios
322). 	 Movimiento a 1er. base   	9 	Indios
323). 	 1 bola   	1 	Indios
324). 	 2 bola   	1 	Indios
325). 	 strike   	1 	Indios
326). 	 foul   	1 	Indios
327). 	 foul   	1 	Indios
328). 	 strike   	1 	Indios
329). 	 ponche   	1 	Indios
330). 	 home run   	2 	Indios
331). 	 Movimiento a 2da. base   	9 	Indios
332). 	 Movimiento a 1er. base   	2 	Indios
333). 	 Movimiento a 3er. base   	9 	Indios
334). 	 Movimiento a 2da. base   	2 	Indios
335). 	 Movimiento a home   	9 	Indios
336). 	 Movimiento a 3er. base   	2 	Indios
337). 	 Movimiento a home   	2 	Indios
338). 	 foul   	3 	Indios
339). 	 foul   	3 	Indios
340). 	 strike   	3 	Indios
341). 	 ponche   	3 	Indios
342). 	 Cambio de juego   	1 	Indios
343). 	 strike   	3 	Yankees
344). 	 Conctato a pelota   	3 	Yankees
345). 	 hit   	3 	Yankees
346). 	 Movimiento a 1er. base   	3 	Yankees
347). 	 doble play   	4 	Yankees
348). 	 out   	3 	Yankees
349). 	 out   	4 	Yankees
350). 	 strike   	5 	Yankees
351). 	 1 bola   	5 	Yankees
352). 	 Conctato a pelota   	5 	Yankees
353). 	 hit   	5 	Yankees
354). 	 Movimiento a 1er. base   	5 	Yankees
355). 	 home run   	6 	Yankees
356). 	 Movimiento a 2da. base   	5 	Yankees
357). 	 Movimiento a 1er. base   	6 	Yankees
358). 	 Movimiento a 3er. base   	5 	Yankees
359). 	 Movimiento a 2da. base   	6 	Yankees
360). 	 Movimiento a home   	5 	Yankees
361). 	 Movimiento a 3er. base   	6 	Yankees
362). 	 Movimiento a home   	6 	Yankees
363). 	 Conctato a pelota   	7 	Yankees
364). 	 out   	7 	Yankees
365). 	 Cambio de juego   	2 	Yankees
366). 	 1 bola   	4 	Indios
367). 	 Conctato a pelota   	4 	Indios
368). 	 out   	4 	Indios
369). 	 home run   	5 	Indios
370). 	 Movimiento a 1er. base   	5 	Indios
371). 	 Movimiento a 2da. base   	5 	Indios
372). 	 Movimiento a 3er. base   	5 	Indios
373). 	 Movimiento a home   	5 	Indios
374). 	 wild pitch   	6 	Indios
375). 	 Movimiento a 1er. base   	6 	Indios
376). 	 robo de base   	6 	Indios
377). 	 Movimiento a 2da. base   	6 	Indios
378). 	 doble play   	7 	Indios
379). 	 out   	6 	Indios
380). 	 out   	7 	Indios
381). 	 Cambio de juego   	1 	Indios
382). 	 Fin de juego   	1 	Yankees

Rank antes del partido   	Rank del Partido   	Yankess

1).	 0.136   	2.204 	Yankees
2).	 0.200   	4.325 	Yankees
3).	 0.286   	5.732 	Yankees
4).	 0.297   	5.433 	Yankees
5).	 0.231   	4.408 	Yankees
6).	 0.269   	2.892 	Yankees
7).	 0.288   	4.068 	Yankees
8).	 0.289   	4.528 	Yankees
9).	 0.309   	6.322 	Yankees

Rank antes del partido   	Rank del Partido   	Indios

1).	 0.400   	9.333 	Indios
2).	 0.313   	4.095 	Indios
3).	 0.280   	4.912 	Indios
4).	 0.292   	3.772 	Indios
5).	 0.169   	2.021 	Indios
6).	 0.275   	3.208 	Indios
7).	 0.225   	1.800 	Indios
8).	 0.261   	2.577 	Indios
9).	 0.231   	2.599 	Indios

 Costo parcial por cada carrera de ambos equipos: 

 Carrera de los Yankees: 
Carrera # 1. costo 16.958333
Carrera # 2. costo 3.625000
Carrera # 3. costo 2.791667
Carrera # 4. costo 7.500000
Carrera # 5. costo 12.791667
Carrera # 6. costo 11.916667
Carrera # 7. costo 0.958333

 Carrera de los Indios: 
Carrera # 1. costo 12.083333
Carrera # 2. costo 19.041667
Carrera # 3. costo 13.458333
Carrera # 4. costo 0.958333
Carrera # 5. costo 4.291667

 Costo global del partido: 275.875000

Marcador 7 5  , entrada# 9
